"id","sex","y_birth","innvandringsgrunn"
"P000000006","1",2006,"FAMM"
"P000000081","1",2006,"FAMM"
"P000000092","1",2004,"UTD"
"P000000100","1",2008,"UTD"
"P000000148","1",2008,"FAMM"
"P000000175","0",2003,"UTD"
"P000000199","0",2009,"UTD"
"P000000206","1",2007,"UTD"
"P000000298","1",2005,"FAMM"
"P000000303","1",2008,"FAMM"
"P000000324","0",2009,"FAMM"
"P000000382","0",2003,"FAMM"
"P000000420","1",2000,"FAMM"
"P000000464","0",2011,"NRD"
"P000000503","0",2002,"UTD"
"P000000521","1",2003,"FAMM"
"P000000533","0",2004,"FAMM"
"P000000539","1",2000,"UTD"
"P000000654","1",2008,"FAMM"
"P000000666","0",2003,"FAMM"
"P000000671","0",2000,"UTD"
"P000000675","1",2013,"NRD"
"P000000693","1",2009,"FAMM"
"P000000695","1",2001,"FAMM"
"P000000696","1",2005,"UTD"
"P000000698","1",2008,"UTD"
"P000000744","1",2007,"FAMM"
"P000000752","1",2008,"UTD"
"P000000764","1",2001,"UTD"
"P000000766","0",2003,"FAMM"
"P000000847","0",2001,"FAMM"
"P000000859","1",2005,"UTD"
"P000000905","0",2000,"FAMM"
"P000000911","0",2000,"UTD"
"P000001003","1",2008,"FAMM"
"P000001055","0",2007,"FAMM"
"P000001082","1",2002,"UTD"
"P000001187","0",2004,"UTD"
"P000001188","0",2005,"FAMM"
"P000001205","0",2001,"FAMM"
"P000001212","1",2006,"FAMM"
"P000001282","0",2007,"UTD"
"P000001317","1",2004,"FAMM"
"P000001347","0",2001,"UTD"
"P000001490","0",2003,"FAMM"
"P000001565","0",2008,"FAMM"
"P000001577","1",2001,"FAMM"
"P000001608","0",2006,"FAMM"
"P000001711","0",2007,"FAMM"
"P000001766","1",2009,"UTD"
"P000001773","0",2011,"ARB"
"P000001776","1",2002,"FAMM"
"P000001786","1",2009,"FAMM"
"P000001834","1",2008,"UTD"
"P000001885","0",2005,"FAMM"
"P000001918","1",2004,"FAMM"
"P000001930","0",2008,"UTD"
"P000001978","1",2002,"UTD"
"P000002024","0",2006,"UTD"
"P000002027","1",2002,"UTD"
"P000002086","1",2007,"UTD"
"P000002151","1",2008,"UTD"
"P000002267","0",2001,"UTD"
"P000002280","0",2006,"UTD"
"P000002283","1",2008,"UTD"
"P000002354","0",2006,"UTD"
"P000002413","0",2008,"UTD"
"P000002508","0",2003,"UTD"
"P000002545","0",2005,"FAMM"
"P000002563","1",2008,"UTD"
"P000002580","1",2000,"UTD"
"P000002601","0",2000,"UTD"
"P000002683","0",2007,"FAMM"
"P000002707","1",2007,"UTD"
"P000002919","0",2004,"FAMM"
"P000002955","1",2005,"UTD"
"P000003015","0",2002,"FAMM"
"P000003038","1",2008,"UTD"
"P000003043","0",2000,"UTD"
"P000003136","0",2003,"UTD"
"P000003175","0",2005,"UTD"
"P000003176","1",2003,"UTD"
"P000003187","0",2006,"FAMM"
"P000003231","0",2000,"FAMM"
"P000003324","1",2007,"UTD"
"P000003413","0",2004,"FAMM"
"P000003437","1",2007,"UTD"
"P000003550","0",2007,"FAMM"
"P000003563","0",2009,"UTD"
"P000003579","1",2007,"FAMM"
"P000003588","0",2001,"FAMM"
"P000003640","1",2015,"NRD"
"P000003671","0",2007,"UTD"
"P000003686","1",2009,"FAMM"
"P000003711","0",2006,"FAMM"
"P000003768","0",2005,"UTD"
"P000003780","0",2003,"UTD"
"P000003879","0",2006,"FAMM"
"P000003957","0",2016,"NRD"
"P000004030","1",2015,"ARB"
"P000004046","0",2002,"FAMM"
"P000004251","1",2008,"UTD"
"P000004255","0",2008,"UTD"
"P000004279","1",2008,"UTD"
"P000004290","0",2007,"FAMM"
"P000004291","0",2009,"FAMM"
"P000004375","1",2000,"UTD"
"P000004388","0",2006,"FAMM"
"P000004393","1",2004,"FAMM"
"P000004399","0",2007,"FAMM"
"P000004416","0",2006,"FAMM"
"P000004454","0",2003,"FAMM"
"P000004484","1",2009,"FAMM"
"P000004490","1",2000,"UTD"
"P000004499","1",2006,"FAMM"
"P000004519","0",2005,"UTD"
"P000004531","1",2006,"UTD"
"P000004534","0",2001,"UTD"
"P000004543","1",2004,"FAMM"
"P000004550","0",2006,"FAMM"
"P000004585","0",2001,"UTD"
"P000004602","0",2000,"UTD"
"P000004639","0",2002,"UTD"
"P000004710","0",2001,"UTD"
"P000004738","1",2009,"UTD"
"P000004740","0",2002,"UTD"
"P000004775","0",2001,"FAMM"
"P000004778","1",2005,"UTD"
"P000004792","1",2006,"UTD"
"P000004800","0",2005,"FAMM"
"P000004841","0",2001,"UTD"
"P000004851","0",2007,"FAMM"
"P000004866","1",2008,"UTD"
"P000004870","1",2002,"UTD"
"P000004908","1",2000,"UTD"
"P000004960","1",2003,"UTD"
"P000005023","1",2006,"UTD"
"P000005097","0",2008,"FAMM"
"P000005105","0",2008,"FAMM"
"P000005272","0",2004,"FAMM"
"P000005322","1",2007,"FAMM"
"P000005391","1",2004,"FAMM"
"P000005424","0",2004,"UTD"
"P000005426","1",2008,"UTD"
"P000005437","1",2001,"FAMM"
"P000005444","0",2005,"FAMM"
"P000005445","1",2007,"FAMM"
"P000005495","0",2007,"UTD"
"P000005524","0",2001,"UTD"
"P000005527","1",2007,"FAMM"
"P000005530","0",2005,"UTD"
"P000005553","0",2005,"UTD"
"P000005563","1",2001,"FAMM"
"P000005650","0",2007,"UTD"
"P000005658","1",2004,"FAMM"
"P000005668","1",2003,"UTD"
"P000005683","1",2013,"UKJ"
"P000005719","0",2005,"FAMM"
"P000005769","0",2013,"UKJ"
"P000005774","0",2001,"UTD"
"P000005826","0",2005,"FAMM"
"P000005830","0",2006,"FAMM"
"P000005840","0",2006,"FAMM"
"P000005879","0",2004,"UTD"
"P000005914","0",2008,"UTD"
"P000005959","1",2007,"UTD"
"P000005991","1",2000,"UTD"
"P000005997","0",2007,"UTD"
"P000006018","0",2003,"FAMM"
"P000006035","1",2007,"FAMM"
"P000006037","0",2001,"FAMM"
"P000006040","1",2004,"UTD"
"P000006134","1",2008,"FAMM"
"P000006182","0",2001,"UTD"
"P000006192","1",2002,"FAMM"
"P000006219","0",2014,"UKJ"
"P000006225","0",2006,"FAMM"
"P000006234","1",2002,"UTD"
"P000006243","0",2008,"UTD"
"P000006253","0",2006,"UTD"
"P000006254","1",2005,"FAMM"
"P000006257","0",2006,"FAMM"
"P000006342","1",2000,"UTD"
"P000006365","1",2002,"UTD"
"P000006371","1",2005,"UTD"
"P000006373","1",2008,"FAMM"
"P000006374","0",2007,"UTD"
"P000006404","1",2008,"FAMM"
"P000006419","0",2004,"FAMM"
"P000006425","1",2009,"UTD"
"P000006434","1",2000,"FAMM"
"P000006443","0",2008,"UTD"
"P000006449","1",2002,"UTD"
"P000006459","0",2007,"FAMM"
"P000006489","1",2000,"FAMM"
"P000006495","1",2003,"FAMM"
"P000006536","1",2004,"FAMM"
"P000006549","1",2009,"UTD"
"P000006615","1",2001,"FAMM"
"P000006695","0",2009,"FAMM"
"P000006720","1",2006,"FAMM"
"P000006754","1",2005,"UTD"
"P000006778","0",2007,"FAMM"
"P000006919","1",2003,"UTD"
"P000006978","1",2000,"UTD"
"P000006980","1",2008,"FAMM"
"P000006990","0",2000,"FAMM"
"P000007156","1",2001,"FAMM"
"P000007168","1",2002,"FAMM"
"P000007182","1",2001,"FAMM"
"P000007247","0",2000,"UTD"
"P000007317","1",2007,"FAMM"
"P000007324","1",2003,"UTD"
"P000007388","1",2007,"UTD"
"P000007442","0",2004,"UTD"
"P000007451","1",2007,"FAMM"
"P000007476","0",2007,"UTD"
"P000007480","1",2005,"FAMM"
"P000007511","0",2007,"FAMM"
"P000007532","1",2005,"UTD"
"P000007546","1",2000,"UTD"
"P000007631","1",2003,"UTD"
"P000007649","1",2005,"FAMM"
"P000007667","1",2007,"UTD"
"P000007701","1",2008,"FAMM"
"P000007704","0",2004,"UTD"
"P000007720","1",2006,"FAMM"
"P000007724","1",2005,"FAMM"
"P000007736","0",2000,"UTD"
"P000007771","0",2007,"FAMM"
"P000007812","0",2001,"FAMM"
"P000007822","1",2002,"FAMM"
"P000007829","0",2005,"FAMM"
"P000007852","1",2000,"UTD"
"P000007891","0",2002,"FAMM"
"P000007892","0",2008,"UTD"
"P000007908","0",2002,"UTD"
"P000007981","0",2009,"FAMM"
"P000008033","1",2000,"UTD"
"P000008059","1",2004,"UTD"
"P000008183","0",2002,"UTD"
"P000008190","0",2000,"UTD"
"P000008199","0",2007,"FAMM"
"P000008253","1",2004,"FAMM"
"P000008272","0",2000,"UTD"
"P000008302","1",2008,"UTD"
"P000008330","1",2004,"UTD"
"P000008351","0",2001,"FAMM"
"P000008373","0",2009,"FAMM"
"P000008424","0",2000,"FAMM"
"P000008471","1",2008,"FAMM"
"P000008478","0",2004,"FAMM"
"P000008488","1",2005,"FAMM"
"P000008528","1",2003,"UTD"
"P000008581","0",2006,"FAMM"
"P000008661","0",2007,"FAMM"
"P000008698","0",2005,"UTD"
"P000008732","1",2001,"FAMM"
"P000008741","0",2000,"UTD"
"P000008779","0",2006,"FAMM"
"P000008784","0",2009,"UTD"
"P000008803","0",2005,"FAMM"
"P000008867","0",2002,"UTD"
"P000008900","1",2000,"UTD"
"P000008947","0",2007,"FAMM"
"P000008987","0",2002,"UTD"
"P000009026","1",2002,"FAMM"
"P000009169","1",2006,"UTD"
"P000009207","1",2005,"FAMM"
"P000009215","0",2009,"UTD"
"P000009225","1",2008,"UTD"
"P000009239","1",2002,"FAMM"
"P000009256","0",2007,"UTD"
"P000009267","0",2002,"UTD"
"P000009281","1",2009,"UTD"
"P000009348","1",2000,"UTD"
"P000009373","0",2001,"FAMM"
"P000009418","1",2008,"FAMM"
"P000009450","0",2007,"UTD"
"P000009505","0",2002,"UTD"
"P000009547","1",2003,"UTD"
"P000009549","0",2006,"UTD"
"P000009561","0",2001,"UTD"
"P000009600","1",2005,"UTD"
"P000009667","1",2001,"UTD"
"P000009701","1",2002,"UTD"
"P000009702","0",2016,"NRD"
"P000009711","1",2004,"UTD"
"P000009719","1",2000,"FAMM"
"P000009734","0",2001,"FAMM"
"P000009792","0",2006,"FAMM"
"P000009798","0",2001,"FAMM"
"P000009827","0",2008,"UTD"
"P000009836","1",2008,"UTD"
"P000009901","1",2008,"FAMM"
"P000009946","0",2004,"FAMM"
"P000009968","1",2006,"FAMM"
"P000010044","0",2003,"FAMM"
"P000010127","1",2001,"FAMM"
"P000010139","1",2004,"UTD"
"P000010193","0",2001,"UTD"
"P000010219","0",2007,"UTD"
"P000010255","0",2014,"NRD"
"P000010278","0",2002,"FAMM"
"P000010309","0",2000,"FAMM"
"P000010324","1",2006,"FAMM"
"P000010352","1",2002,"UTD"
"P000010412","1",2002,"FAMM"
"P000010466","1",2007,"FAMM"
"P000010480","1",2002,"FAMM"
"P000010490","1",2000,"UTD"
"P000010499","1",2000,"FAMM"
